switch	Město	Ulice	PSČ
sw1g.piskovna.wll 	Brno	Vinohradská	618 00
sw1g.drfg.wll 	Brno	Hlinky	603 00
sw1g.orli27.wll 	Brno	Orlí	602 00
sw1g.dumbdominik.wll 	Brno	Dominikánská	602 00
sw1g.panflex.wll 	Popůvky	Vintrovna	664 41
sw1g.videnska118.wll 	Brno	Vídeňská 	619 00
sw1g.dribo.wll 	Brno	Pražákova	619 00
sw1g.rsc.wll 	Brno	Soběšická	614 00
sw1g.dolezal.wll 	Brno	Koliště	602 00
sw1g.stavos.wll 	Brno	U Svitavy	618 00
sw1g.hlinky92.wll 	Brno	Hlinky	603 00
sw1g.gruza.wll 	Brno	Jugoslávská	613 00
sw1g.lipova18.wll 	Brno	Lipová	602 00
sw1g.senior.wll 	Brno	Holasická	620 00
sw1g.novackova.wll 	Brno	Nováčkova	614 00
sw1g.zoo.wll 	Brno	U zologické zahrady	635 00
sw1g.vodni13.wll 	Brno	Vodní	602 00
sw1g.lidicka31.wll 	Brno	Lidická	602 00
sw1g.rozkvet.wll 	Brno	nám. Svobody	602 00
sw1g.artin.wll 	Brno	Mojmírovo nám. 	612 00
sw1g.oseva.wll 	Brno	Řípská	627 00
sw1g.selska.wll 	Brno	Selská	614 00
sw1g.kolejconsult.wll 	Brno	Křenová	602 00
sw1g.bolek.wll 	Brno	Jakubské nám.	602 00
sw1g.uvlecky.wll 	Modřice	U vlečky	664 42
sw1g.robur.wll 	Popůvky	Vintrovna	664 41
sw1g.gradiortech.wll 	Brno	Křižíkova	612 00
sw1g.sokolova.wll 	Brno	Sokolova	619 00
sw1g.rematiprop.wll 	Brno	Vídeňská	619 00
sw1g.bayerova40.wll 	Brno	Bayerova	602 00
sw1g.radnicka11.wll 	Brno	Radnická	602 00
sw1g.smiling-janska.wll 	Brno	Jánská	602 00
sw1g.hala.wll 	Brno	Heršpická	639 00
sw1g.kopecna14.wll 	Brno	Kopečná	602 00
sw1g.karasekbudova07.wll 	Brno	Karásek	621 00
sw1g.globus.wll 	Brno	Hradecká	621 00
sw1g.josefinka.wll 	Brno	Josefská	602 00
sw1g.strechastavos.wll 	Brno	U Svitavy	618 00
sw1g.starobrno.wll 	Brno	Mendlovo nám.	603 00
sw1g.kralopol1.wll 	Brno	Křižíkova	612 00
sw1g.alpha.wll 	Brno	Dominikánská	602 00
sw1g.cssoft.wll 	Brno	Lazaretní	615 00
sw1g.hvezdova.wll 	Brno	Hvězdová	602 00
sw1g.teatechnik.wll 	Popůvky	Vintrovna	664 41
sw1g.jundrovska.wll 	Brno	Jundrovská	624 00
sw1g.pokornytes.wll 	Brno	Trnkova	628 00
sw1g.rodl.wll 	Brno	Květná	603 00
sw1g.skarova.wll 	Brno	Škárova	612 00
sw1g.remet1p.wll 	Brno	Vídeňská	619 00
sw1g.unipi.wll 	Brno	Jarní	614 00
sw1g.hama.wll 	Brno	Kšírova	619 00
sw1g.phoenix.wll 	Brno	Jedovnická	628 00
sw1g.panska2.wll 	Brno	Panská	602 00
sw1g.merci.wll 	Brno	Hviezdoslavova	627 00
sw1g.homola.wll 	Brno	Hlinky	603 00
sw1g.ifm.wll 	Brno	Křenová	602 00
sw1g.meta.wll 	Brno	Božetěchova	612 00
sw1g.sara.wll 	Brno	Podnásepní	602 00
sw1g.ppg.wll 	Modřice	U vlečky	664 42
sw1g.hejtmanstvi.wll 	Brno	Žerotinovo náměstí	602 00
sw1g.olman.wll 	Brno	Jakuba Obrovského	635 00
sw1g.vodaperfect.wll 	Brno	Václavská	603 00
sw1g.bohunicka24a.wll 	Brno	Bohunická	619 00
sw1g.actin.wll 	Brno	Hviezdoslavova	627 00
sw1g.mpasaz 	Brno	Heršpická	639 00
sw1g.rasinova.wll 	Brno	Rašínova	602 00
sw1g.atalian.wll 	Brno	Karásek	621 00
sw1g.top1taxi.wll 	Brno	Kaštanova	620 00
sw1g.cichnovan.wll 	Brno	Čichnova	624 00
sw1g.aptum.wll 	Brno	Cejl	602 00
sw1g.amberg.wll 	Brno	Ptašínského	602 00
sw1g.firesta.wll 	Brno	Mlýnská	602 00
sw1g.cdtmarikova.wll 	Brno	Maříkova	621 00
sw1g.tierraverde.wll 	Popůvka	Vintrovna	664 41
sw1g.grand.wll 	Brno	Benešova	602 00
sw1g.decathlon.wll 	Brno	Hradecká	621 00
sw1g.bmt.wll 	Brno	Cejl	602 00
sw1g.ece.wll 	Brno	Ve Vaňkovce	602 00
sw1g.tsbsvobodak.wll 	Brno	nám. Svobody	602 00
sw1g.tsbhszelnak.wll 	Brno	Zelný trh	602 00
sw1g.embrno.wll 	Brno	Šámalova	615 00
sw1g.zskren.wll 	Brno	Křenová	602 00
sw1g.znojmex.wll 	Brno	Rooseveltova	602 00
sw1g.enbraold.wll 	Popůvky	Vintrovna	664 42
sw1g.mlynska9a.wll 	Brno	Mlýnská	602 00
sw1g.ustrednapalac.wll 	Brno	Heršpická	639 00
sw1g.vodadenver.wll 	Brno	Železná	619 00
sw1g.fleda.wll 	Brno	Štefánikova	602 00
sw1g.newtelvidenska.wll 	Brno	Vídeňská	619 00
sw1g.slup.wll 	Brno	Jarní	614 00
sw1g.starobrnenska9.wll 	Brno	Starobrněnská	602 00
sw1g.bibby.wll 	Brno	Hlinky	603 00
sw1g.berousek.wll 	Brno	Česká	602 00
sw1g.sguide.wll 	Brno	Erbenova	602 00
sw1g.bvv.wll 	Brno	Výstaviště	603 00
sw1g.zachod.wll 	Brno	Jarní	614 00
sw1g.mecova10.wll 	Brno	Starobrněnská	602 00
sw1g.sqs.wll 	Brno	Sokolova	619 00
sw1g.copygeneral.wll 	Brno	Dvořákova	602 00
sw1g.novabudova.wll 	Brno	Jarní	614 00
sw1g.karasekbudova03.wll 	Brno	Karásek	621 00
sw1g.powerbridge.wll 	Popůvky	Vintrovna	664 41
sw1g.karasekbudova24-3p.wll 	Brno	Karásek	621 00
sw1g.herspice.wll 	Brno	Pěstitelská	619 00
sw1g.sberbankhersp.wll 	Brno	Heršpická	639 00
sw1g.tsbhlavas.wll 	Brno	Nádražní	602 00
sw1g.tm-impera.wll 	Brno	Hlinky	603 00
sw1g.franz.wll 	Brno	Franzova	614 00
sw1g.hvezdarna.wll 	Brno	Kraví Hora	616 00
sw1g.kren69vnitro1.wll 	Brno	Křenová	602 00
sw1g.kptjarose26.wll 	Brno	Tř. Kpt. Jaroše	602 00
sw1g.jadi3np.wll 	Brno	Rooseveltova	602 00
sw1g.jadiprovaziste.wll 	Brno	Rooseveltova	602 00
sw1g.drazni.wll 	Brno	Drážní	627 00
sw1g.olomoucka77.wll 	Brno	Olomoucká	627 00
sw1g.vinari.wll 	Brno	Žerotinovo náměstí	602 00
sw1g.namsvobody20.wll 	Brno	Nám. Svobody	602 00
sw1g.apeltpoe.wll 	Brno	Jerní	614 00
sw1g.purkynova79.wll 	Brno	Purkyňova	612 00
sw1g.heimtrade.wll 	Brno	Vídeňská	619 00
sw1g.agora2.wll 	Brno	Řípská	627 00
sw1g.jakubnam6.wll 	Brno	Jakubské nám.	602 00
sw1g.lidicka26.wll 	Brno	Lidická	602 00
sw1g.olympcentrum 	Modřice	U Dálnice	664 42
sw1g.jakubnam4.wll 	Brno	Jakubské nám.	602 00
sw1g.jok.wll 	Brno	Stavební	602 00
sw1g.kovoplasma.wll 	Brno	Brněnská	664 42
sw1g.florplant.wll 	Brno	Havránkova	619 00
sw1g.metodejova.wll 	Brno	Mětodějova	612 00
sw1g.lidicka20.wll 	Brno	Lidická	602 00
sw1g.benesova.wII 	Brno	Benešova	602 00
sw1g.liskovec.wll 	Brno	U Pošty	625 00
sw1g.spalicekpoehotspot.wll 	Brno	Dominikánská 	602 00
sw1g.agroturany2.wll 	Brno	Dvorecká	620 00
sw1g.uhelna.wll 	Brno	Uhelná	602 00
sw1g.buildsys.wll 	Brno	Cihlářská	602 00
sw1g.psg.wll 	Brno	Hlinky	603 00
sw1g.fnbstrecha.wll 	Brno	Jihlavská	625 00
sw1g.dukelska.wll 	Brno	Dukelská	614 00
sw1g.bauhaus-strazni.wll 	Brno	Strážní	639 00
sw1g.bauhaus.wll 	Brno	Řečkovická	621 00
sw1g.development.wll 	Brno	Bednářova	619 00
sw1g.tmcamea.wll 	Brno	Karásek	621 00
sw1g.spalicekhotspot.wll 	Brno	Dominikánská	602 00
sw1g.eonnovomest.wll 	Brno	Novoměstská	621 00
sw1g.kosinova.wll 	Brno	Košinova	612 00
sw1g.livesport.wll 	Brno	Jana Babáka	612 00
sw1g.purkynova99.wll 	Brno	Purkyňova	612 00
sw1g.studentska.wII 	Brno	Studentská	625 00
sw1g.tmasseco.wll 	Brno	Šumavská	602 00
sw1g.suez.wll 	Brno	Holzova	627 00
sw1g.lidicka26-4p.wll 	Brno	Lidická	602 00
sw1g.teplarnaokruzni.wll 	Brno	Okružní	638 00
sw1g.tm-sabris.wll 	Brno	Jana Babáka	612 00
sw1g.srbska53.wll 	Brno	Srbská	612 00
sw1g.mtc.wll 	Brno	Jedovnická	628 00
sw1g.umczidenice.wll 	Brno	Gajdošova	615 00
sw1g.cinema-spalicek.wll 	Brno	Dominikánská	602 00
sw1g.cejl58.wll 	Brno	Cejl	602 00
sw1g.cinema-olympia.wll 	Modřice	U Dálnice	664 42
sw1g.mpalacstrecha.wII 	Brno	Heršpická	639 00
sw1g.porici.wll 	Brno	Poříčí	639 00
sw1g.hercikova.wll 	Brno	Herčíkova	612 00
sw1g.voda-teximp.wll 	Brno	Karásek	621 00
sw1g.komfort.wll 	Brno	Křenová	602 00
sw1g.steinseal.wll 	Brno	Šámalova	615 00
sw1g.elkov.wll 	Brno	Kšírova	617 00
sw1g.krenova13.wII 	Brno	Křenová	602 00
sw1g.askchem.wll 	Brno	Tovarní 	643 00
sw1g.emko.wll 	Brno	Řípská	627 00
sw1g.mmotionmaton.wll 	Brno	Mathanova	613 00
sw1g.novolisenska.wll 	Brno	Novolišenská	628 00
sw1g.zarosicka.wll 	Brno	Žarošická	628 00
sw1g.viden122.wll 	Brno	Vídeňská	619 00
sw1g.bezrucova17a.wII 	Brno	Bezručova	602 00
sw1g.upc-bratislavska52.wll 	Brno	Bratislavská	602 00
sw1g.moravostav.wll 	Brno	Maříkova	621 00
sw1g.postovska.wll 	Brno	Poštovská	602 00
sw1g.hlinky68.wII 	Brno	Hlinky	603 00
sw1g.basty2-2p.wll 	Brno	Bašty	602 00
sw1g.tomesova.wll 	Brno	Tomešova	602 00
sw1g.okgroup.wll 	Brno	Londýnské náměstí	639 00
sw1g.hlinky70.wII 	Brno	Hlinky	603 00
sw1g.slovdum.wll 	Brno	Palackého tř.	612 00
sw1g.tyflo.wll 	Brno	Chaloupkova	612 00
sw1g.agroturany.wII 	Brno	Dvorecká	620 00
sw1g.obranska60.wll 	Brno	Obřanská	614 00
sw1g.nzg.wll 	Brno	Mendlovo nám.	603 00
sw1g.scala.wll 	Brno	Jakubské náměstí	602 00
sw1g.husova.wII 	Brno	Husova	602 00
sw1g.orgrez.wII 	Brno	Hudcova	621 00
sw1g.mornam8.wII 	Brno	Moravské nám.	602 00
sw1g.smilingmilenova.wll 	Brno	Milénova	638 00
sw1g.sborovna.wll 	Brno	Nádražní	602 00
sw1g.tsbbarvirska.wll 	Brno	Barvířská	602 00
sw1g.feromat.wll 	Brno	Slaměníkova	614 00
sw1g.texxar.wll 	Brno	Srbská	612 00
sw1g.komin3p.wll 	Brno	Obřanská	614 00
sw1g.medatron.wII 	Brno	Maříkova	621 00
sw1g.marikova42.wII 	Brno	Maříkova	621 00
sw1g.semsotec.wll 	Brno	Zaoralova	628 00
sw1g.udolni37.wll 	Brno	Údolní	602 00
sw1g.kourovod-n.wll 	Brno	Špitálka	602 00
sw1g.spitalka33.wll 	Brno	Špitálka	602 00
sw1g.umcbystrc.wll 	Brno	Nám. 28. dubna	635 00
sw1g.voda-quinta.wll 	Brno	Karásek	621 00
sw1g.orli36.wll 	Brno	Orlí	602 00
sw1g.spitalka8.wll 	Brno	Špitálka	602 00
sw1g.spalena.wll 	Brno	Spálená	602 00
sw1g.janska22.wll 	Brno	Jánská	602 00
sw1g.oncomed.wll 	Brno	Karásek	621 00
sw1g.obrstrecha.wll 	Brno	Obřanská	614 00
sw1g.bratislavska53.wII 	Brno	Bratislavská	602 00
sw1g.hnevkovskeho81b.wll 	Brno	Hněvkovského	617 00
sw1g.mlynska13.wll 	Brno	Mlýnská	602 00
sw1g.pells.wII 	Brno	Slaměníkova	614 00
sw1g.monsta.wll 	Brno	Kaštanová	617 00
sw1g.tm-tradix.wll 	Brno	Kaštanová	617 00
sw1g.filharmonie.wll 	Brno	Komenského náměstí	602 00
sw1g.bvkhady.wll 	Brno	Hády	614 00
sw1g.komin5p.wll 	Brno	Obřanská	614 00
sw1g.vodni.wll 	Brno	Vodní	602 00
sw1g.labyrinth.wll 	Brno	Žerotinovo náměstí	602 00
sw1g.cejl81.wll 	Brno	Cejl	602 00
sw1g.kopecna20.wll 	Brno	Kopečná	602 00
sw1g.moog-mostecka.wll 	Brno	Mostecká	614 00
sw1g.moog-jarni.wll 	Brno	Jarní	614 00
sw1g.usvitavy3.wll 	Brno	U Svitavy	618 00
sw1g.bvvpavilona3.wll 	Brno	Výstaviště	603 00
sw1g.rondo.wll 	Brno	Křídlovická	603 00
sw1g.axima.wll 	Brno	Štefánikova	602 00
sw1g.eisberg.wll 	Brno	Hviezdoslavova	627 00
sw1g.koliste65.wll 	Brno	Koliště	602 00
sw1g.amar.wll 	Podolí	Podolí	664 03
sw1g.palackehotr186.wll 	Brno	Palackého tř.	612 00
sw1g.janska12.wll 	Brno	Jánská	602 00
sw1g.jakubnam3.wll 	Brno	Jakubské nám	602 00
sw1g.karasekbudova04.wll 	Brno	Karásek	621 00
sw1g.koliste7.wII 	Brno	Koliště	602 00
sw1g.ibc8.wll 	Brno	Příkop	602 00
sw1g.mestanka.wII 	Brno	Měšťanská	620 00
sw1g.tsm.wll 	Brno	Zámečnická	602 00
sw1g.globuspasaz.wll 	Brno	Hradecká	621 00
sw1g.francouzska67.wll 	Brno	Francouzská	602 00
sw1g.zelezna2.wll 	Brno	Železná	619 00
sw1g.cinema-olympia2.wll 	Modřice	U Dálnice	664 42
sw1g.hviezdoslavova41.wll 	Brno	Hviezdoslavova	627 00
sw1g.zahradnicka6.wll 	Brno	Zahradnická	603 00
sw1g.cejl43.wll 	Brno	Cejl	602 00
sw1g.hlinky104.wll 	Brno	Hlinky	603 00
sw1g.jarnistrecha.wll 	Brno	Jarní	614 00
sw1g.pekarska7.wll 	Brno	Pekařská	602 00
sw1g.zskrenova.wll 	Brno	Křenová 	602 00
sw1g.studentvank.wll 	Brno	Ve Vaňkovce	602 00
sw1g.vankovkastred.wII 	Brno	Ve Vaňkovce	602 00
sw1g.rasinova4.wll 	Brno	Rašínova	602 00
sw1g.jerabkova6.wll 	Brno	Jeřábkova	602 00
sw1g.malinak.wll 	Brno	Malinkovské nám.	602 00
sw1g.rossmann.wll 	Brno	Nádražní	602 00
sw1g.zadivadlem2.wII 	Brno	Za divadlem	602 00
sw1g.intercom.wll 	Brno	Dominikánská	602 00
sw1g.itelligence.wll 	Brno	Hlinky	603 00
sw1g.francouzska38.wll 	Brno	Francouzská	602 00
sw1g.francek38.wll 	Brno	Francouzská	602 00
sw1g.ceska17.wll 	Brno	Česká	602 00
sw1g.mtc2.wll 	Brno	Jedovnická	615 00
sw1g.dotrlinka 	Brno	Jedovnická	615 00
sw1g.agora.wll 	Brno	Řípská	627 00
sw1g.hviezdoslav29.wll 	Brno	Hviezdoslavova	627 00
sw1g.dpmb-kom.wll 	Brno	Jundrovská	624 00
sw1g.ripska11d.wll 	Brno	Řípská	627 00
sw1g.plynarenska.wll 	Brno	Plynárenská	602 00
sw1g.energzet-rdpark.wll 	Brno	Úlehlova	628 00
sw1g.tigerlak.wll 	Brno	Kaštanova	620 00
sw1g.hybesova38.wll 	Brno	Hybešova	602 00
sw1g.nejedleho1.wll 	Brno	Nejedlého	638 00
sw1g.aplus.wll 	Brno	Česká	602 00
sw1g.energzet110.wll 	Brno	Jedovnická	628 00
sw1g.apro.wll 	Brno	Cejl	602 00
sw1g.kristenova.wll 	Brno	Kristenova	624 00
sw1g.nrb.wll 	Brno	Šumavská	602 00
sw1g.moravia-propag.wll 	Brno	Karásek	621 00
sw1g.enbra.wll 	Popůvky	Vintrovna	664 41
sw1g.basty2-3p.wll 	Brno	Bašty	602 00
sw1g.karasek5.wll 	Brno	Karásek	621 00
sw1g.ceska5.wll 	Brno	Česká	602 00
sw1g.keloc.wll 	Brno	Námestí SNP	613 00
sw1g.cartec.wll 	Brno	Mariánské nám.	617 00
sw1g.direct.wll 	Brno	Nové sady	602 00
sw1g.energzet-velin.wll 	Brno	Jedovnická	628 00
sw1gpoe.dbp-bakala.wll 	Brno	Žerotinovo náměstí	602 00
